feature,importance
HbA1c_level,0.3630499231691556
blood_glucose_level,0.27942870271552434
age,0.1751490470985875
bmi,0.11414566881605893
hypertension,0.025260514495917194
heart_disease,0.015344091062230374
gender_Male,0.006757043506147193
smoking_history_former,0.0064819555318041434
smoking_history_never,0.005219664296075346
smoking_history_current,0.0035507579216349896
smoking_history_not current,0.0032047541819950646
smoking_history_ever,0.002404472321790302
gender_Other,3.404883078979829e-06
